;human;robot
138;0.10778796147977135;0.1218550341806841
139;0.10732092976234117;0.12269993528348347
140;0.10667844309479926;0.1233975058332083
141;0.10585744950750527;0.12394290170362245
142;0.10485614267362298;0.12433060350708725
143;0.10367394805846518;0.12455430486795122
144;0.10231150308332754;0.12460686446996659
145;0.10077063378974607;0.1244803291061325
146;0.09905433003479291;0.1241660317781422
147;0.09716672066607746;0.12365476534641268
148;0.09511304945416091;0.122937028485866
149;0.09289965184397352;0.1220033369427094
150;0.09053393187301935;0.12084458950931565
151;0.08802433794108935;0.11945247493292967
152;0.0853803355502383;0.11781990333192291
153;0.08261237470629709;0.11594144376916958
154;0.07973184941774009;0.11381374854993839
155;0.07675104666784072;0.1114359446524419
156;0.073683082383293;0.10880997349451917
157;0.07054182227555314;0.10594086196900517
